,STATE_PRE,STATE_POST,MIN,MAX,10%,50%,90%
0,NEW,QUEUED_FOR_PROCESSING,0 days 00:00:00.054000,0 days 00:12:05.953000,0 days 00:00:00,0 days 00:00:00.131500,0 days 00:09:23.732300
0,QUEUED_FOR_PROCESSING,PRE_PROCESSING,0 days 00:00:00,0 days 00:00:00.363000,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00.002000
0,PRE_PROCESSING,FILE_TO_TIFF_CONVERSION_PROCESSING,0 days 00:00:00,0 days 00:00:00.003000,0 days 00:00:00,0 days 00:00:00.997000,0 days 00:00:03.145499999
0,FILE_TO_TIFF_CONVERSION_PROCESSING,FILE_TO_TIFF_CONVERSION_FINISHED,0 days 00:00:01.991000,0 days 00:00:06.321000,0 days 00:00:00,0 days 00:00:00.998500,0 days 00:00:03.145499999
0,FILE_TO_TIFF_CONVERSION_FINISHED,OCR_PROCESSING,0 days 00:00:00,0 days 00:00:00.006000,0 days 00:00:00,0 days 00:00:02.242000,0 days 00:00:15.081700
0,OCR_PROCESSING,OCR_FINISHED,0 days 00:00:04.478000,0 days 00:00:47.543000,0 days 00:00:00,0 days 00:00:02.240500,0 days 00:00:15.081700
0,OCR_FINISHED,PRE_PROCESSING_FINISHED,0 days 00:00:00,0 days 00:00:00.003000,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00.001000
0,PRE_PROCESSING_FINISHED,PIPELINE_PROCESSING,0 days 00:00:00,0 days 00:00:00.001000,0 days 00:00:00,0 days 00:00:14.582000,0 days 00:01:27.278699999
0,PIPELINE_PROCESSING,PIPELINE_FINISHED,0 days 00:00:29.163000,0 days 00:03:22.487000,0 days 00:00:00,0 days 00:00:14.582500,0 days 00:01:27.278699999
0,PIPELINE_FINISHED,POST_PROCESSING,0 days 00:00:00,0 days 00:00:00.002000,0 days 00:00:00,0 days 00:00:00.183500,0 days 00:00:01.579400
0,POST_PROCESSING,DOCUMENT_PROCESSED,0 days 00:00:00.365000,0 days 00:00:03.511000,0 days 00:00:00.697800,0 days 00:00:03.218000,0 days 00:10:57.003400
0,DOCUMENT_PROCESSED,NEW,0 days 00:00:03.218000,0 days 00:14:45.110000,0 days 00:01:03.680200,0 days 00:06:10.968000,0 days 00:11:09.244200
